                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 0.8858,                 1.5872,                0.86312,                0.03076,                      1,                0.74625,                0.47375,                 1.1319,                 2.7858,                 0.9288,             0.00033509,             0.00033509,             0.00033509
                     66,                 1.1527,                 1.6987,                0.87604,                0.03241,                      1,                0.62187,                0.39167,                 1.1712,                  2.747,                0.93989,             0.00033114,             0.00033114,             0.00033114
                     67,                0.88022,                 1.5496,                0.87189,                0.03241,                      1,                0.62187,                0.39167,                 1.1712,                  2.747,                0.93989,             0.00032689,             0.00032689,             0.00032689
                     68,                0.97209,                 1.6934,                0.92317,                0.03241,                      1,                0.62187,                0.39167,                 1.1712,                  2.747,                0.93989,             0.00032237,             0.00032237,             0.00032237
                     69,                0.99492,                 1.7915,                0.84551,                0.03329,                      1,                0.62187,                 0.3899,                 1.1447,                 2.8096,                0.92764,             0.00031756,             0.00031756,             0.00031756
                     70,                0.95091,                 1.9218,                0.81611,                0.03329,                      1,                0.62187,                 0.3899,                 1.1447,                 2.8096,                0.92764,             0.00031247,             0.00031247,             0.00031247
                     71,                 1.1776,                 1.7786,                0.83018,                0.03329,                      1,                0.62187,                 0.3899,                 1.1447,                 2.8096,                0.92764,             0.00030709,             0.00030709,             0.00030709
                     72,                 1.1394,                 1.8326,                0.92812,                0.03212,                      1,                0.62187,                0.41421,                 1.1313,                 2.8378,                0.92081,             0.00030143,             0.00030143,             0.00030143
                     73,                 1.0393,                  1.774,                0.93133,                0.03212,                      1,                0.62187,                0.41421,                 1.1313,                 2.8378,                0.92081,             0.00029549,             0.00029549,             0.00029549
                     74,                0.76808,                 2.0818,                0.81497,                0.03212,                      1,                0.62187,                0.41421,                 1.1313,                 2.8378,                0.92081,             0.00028927,             0.00028927,             0.00028927
                     75,                0.89517,                 1.6516,                0.86944,                0.03184,                      1,                  0.597,                0.38339,                 1.1201,                 2.8072,                 0.9189,             0.00028276,             0.00028276,             0.00028276
                     76,                 1.0999,                 2.5925,                0.93665,                0.03184,                      1,                  0.597,                0.38339,                 1.1201,                 2.8072,                 0.9189,             0.00027598,             0.00027598,             0.00027598
                     77,                 1.0289,                 1.8286,                0.90862,                0.03184,                      1,                  0.597,                0.38339,                 1.1201,                 2.8072,                 0.9189,              0.0002689,              0.0002689,              0.0002689
                     78,                 1.1232,                 1.7314,                0.86383,                0.03091,                      1,                  0.597,                0.40565,                 1.0932,                 2.7057,                0.91795,             0.00026155,             0.00026155,             0.00026155
                     79,                  1.152,                 1.7025,                0.85856,                0.03091,                      1,                  0.597,                0.40565,                 1.0932,                 2.7057,                0.91795,             0.00025391,             0.00025391,             0.00025391
                     80,                 1.2085,                 1.5789,                0.94483,                0.03091,                      1,                  0.597,                0.40565,                 1.0932,                 2.7057,                0.91795,             0.00024599,             0.00024599,             0.00024599
                     81,                  1.157,                 2.5914,                0.87322,                 0.0311,                      1,                0.58042,                0.39754,                  1.106,                 2.5381,                0.92275,             0.00023779,             0.00023779,             0.00023779
                     82,                 1.0967,                 1.5516,                0.82299,                 0.0311,                      1,                0.58042,                0.39754,                  1.106,                 2.5381,                0.92275,              0.0002293,              0.0002293,              0.0002293
                     83,                 1.1469,                 1.5876,                0.92622,                 0.0311,                      1,                0.58042,                0.39754,                  1.106,                 2.5381,                0.92275,             0.00022053,             0.00022053,             0.00022053
                     84,                 1.0002,                 1.6037,                0.89431,                0.49252,                    0.5,                0.58042,                0.42455,                 1.0965,                 2.4087,                0.91735,             0.00021148,             0.00021148,             0.00021148
                     85,                0.85354,                 1.6861,                0.86388,                0.49252,                    0.5,                0.58042,                0.42455,                 1.0965,                 2.4087,                0.91735,             0.00020214,             0.00020214,             0.00020214
                     86,                0.85567,                 1.6017,                 0.8163,                0.49252,                    0.5,                0.58042,                0.42455,                 1.0965,                 2.4087,                0.91735,             0.00019252,             0.00019252,             0.00019252
                     87,                 0.9351,                 1.7699,                0.92471,                0.49252,                    0.5,                0.58042,                0.42455,                 1.0965,                 2.4087,                0.91735,             0.00018262,             0.00018262,             0.00018262
                     88,                 1.0745,                 1.6756,                 0.7934,                      1,                0.41756,                0.58042,                0.43284,                 1.0773,                 2.3027,                0.91301,             0.00017244,             0.00017244,             0.00017244
                     89,                 1.0805,                 1.8428,                 0.8671,                      1,                0.41756,                0.58042,                0.43284,                 1.0773,                 2.3027,                0.91301,             0.00016197,             0.00016197,             0.00016197
                     90,                0.90729,                 1.7135,                0.87627,                      1,                0.41756,                0.58042,                0.43284,                 1.0773,                 2.3027,                0.91301,             0.00015122,             0.00015122,             0.00015122
                     91,                0.86023,                 1.8517,                0.87052,                      1,                0.41756,                0.58042,                0.43284,                 1.0773,                 2.3027,                0.91301,             0.00014018,             0.00014018,             0.00014018
                     92,                0.89634,                 2.2493,                0.95721,                      1,                0.22229,                0.58033,                0.43609,                 1.0682,                 2.2071,                0.91056,             0.00012887,             0.00012887,             0.00012887
                     93,                0.93874,                 1.8094,                0.88336,                      1,                0.22229,                0.58033,                0.43609,                 1.0682,                 2.2071,                0.91056,             0.00011727,             0.00011727,             0.00011727
                     94,                 1.1099,                 2.4686,                0.90956,                      1,                0.22229,                0.58033,                0.43609,                 1.0682,                 2.2071,                0.91056,             0.00010539,             0.00010539,             0.00010539
                     95,                 1.0038,                 2.1282,                0.89126,                      1,                0.22229,                0.58033,                0.43609,                 1.0682,                 2.2071,                0.91056,             9.3222e-05,             9.3222e-05,             9.3222e-05
                     96,                0.99841,                  1.979,                0.93595,                      1,                0.27461,                0.58033,                0.43609,                 1.0618,                 2.0885,                0.90838,             8.0774e-05,             8.0774e-05,             8.0774e-05
                     97,                 1.1302,                 2.2024,                0.87408,                      1,                0.27461,                0.58033,                0.43609,                 1.0618,                 2.0885,                0.90838,             6.8043e-05,             6.8043e-05,             6.8043e-05
                     98,                0.98274,                  2.039,                0.85342,                      1,                0.27461,                0.58033,                0.43609,                 1.0618,                 2.0885,                0.90838,             5.5029e-05,             5.5029e-05,             5.5029e-05
                     99,                 1.1599,                 2.8834,                0.86138,                      1,                0.27461,                0.58033,                0.43609,                 1.0618,                 2.0885,                0.90838,             4.1733e-05,             4.1733e-05,             4.1733e-05
                    100,                 0.9748,                 1.9427,                0.94733,                      1,                0.41705,                0.58042,                0.43282,                 1.0637,                 1.9778,                0.90867,             2.8153e-05,             2.8153e-05,             2.8153e-05
